  Date       Dividend   Company Ticker
  Date: 2021-11-29, Dividend: 0.7, Company Ticker: DOW,
  Date: 2021-11-12, Dividend: 0.66, Company Ticker: SO,
  Date: 2021-11-04, Dividend: 0.3475, Company Ticker: INTC,
  Date: 2021-11-04, Dividend: 0.39, Company Ticker: PFE,
  Date: 2021-11-01, Dividend: 0.236, Company Ticker: O,
  Date: 2021-10-28, Dividend: 0.12, Company Ticker: AGNC,
  Date: 2021-10-28, Dividend: 0.45, Company Ticker: EPD,
  Date: 2021-10-28, Dividend: 0.7, Company Ticker: MS,
  Date: 2021-10-26, Dividend: 0.06, Company Ticker: PSEC,
  Date: 2021-10-14, Dividend: 1.3, Company Ticker: ABBV,
  Date: 2021-10-07, Dividend: 0.52, Company Ticker: T,
  Date: 2021-10-07, Dividend: 0.64, Company Ticker: VZ,
  Date: 2021-10-05, Dividend: 1.0, Company Ticker: JPM,
  Date: 2021-10-01, Dividend: 0.25, Company Ticker: NRZ,
  Date: 2021-09-30, Dividend: 0.24, Company Ticker: O,
  Date: 2021-09-29, Dividend: 0.12, Company Ticker: AGNC,
  Date: 2021-09-29, Dividend: 1.5, Company Ticker: IIPR,
  Date: 2021-09-29, Dividend: 0.22, Company Ticker: NLY,
  Date: 2021-09-28, Dividend: 1.25, Company Ticker: PM,
  Date: 2021-09-27, Dividend: 0.06, Company Ticker: PSEC,
  Date: 2021-09-23, Dividend: 1.56, Company Ticker: VALE,
  Date: 2021-09-14, Dividend: 0.71, Company Ticker: GILD,
  Date: 2021-09-14, Dividend: 0.9, Company Ticker: MO,
  Date: 2021-09-14, Dividend: 0.65, Company Ticker: MRK,
  Date: 2021-09-10, Dividend: 0.49, Company Ticker: DVN,
  Date: 2021-09-08, Dividend: 0.55, Company Ticker: NEM,
  Date: 2021-09-08, Dividend: 1.5, Company Ticker: SPG,
  Date: 2021-08-31, Dividend: 0.4, Company Ticker: KHC,
  Date: 2021-08-31, Dividend: 0.24, Company Ticker: O,
  Date: 2021-08-30, Dividend: 0.12, Company Ticker: AGNC,
  Date: 2021-08-30, Dividend: 0.7, Company Ticker: DOW,
  Date: 2021-08-27, Dividend: 0.25, Company Ticker: LUMN,
  Date: 2021-08-26, Dividend: 0.06, Company Ticker: PSEC,
  Date: 2021-08-23, Dividend: 1.15, Company Ticker: PRU,
  Date: 2021-08-20, Dividend: 1.48, Company Ticker: MMM,
  Date: 2021-08-20, Dividend: 1.02, Company Ticker: UPS,
  Date: 2021-08-19, Dividend: 0.53, Company Ticker: GSK,
  Date: 2021-08-19, Dividend: 0.48, Company Ticker: WBA,
  Date: 2021-08-18, Dividend: 1.34, Company Ticker: CVX,
  Date: 2021-08-17, Dividend: 0.62, Company Ticker: PBR,
  Date: 2021-08-16, Dividend: 1.76, Company Ticker: AMGN,
  Date: 2021-08-13, Dividend: 0.66, Company Ticker: SO,
  Date: 2021-08-12, Dividend: 0.33, Company Ticker: BP,
  Date: 2021-08-12, Dividend: 0.99, Company Ticker: DUK,
  Date: 2021-08-12, Dividend: 0.67, Company Ticker: ENB,
  Date: 2021-08-12, Dividend: 3.76, Company Ticker: RIO,
  Date: 2021-08-12, Dividend: 0.87, Company Ticker: XOM,
  Date: 2021-08-09, Dividend: 1.64, Company Ticker: IBM,
  Date: 2021-08-05, Dividend: 0.15, Company Ticker: ET,
  Date: 2021-08-05, Dividend: 0.35, Company Ticker: INTC,
  Date: 2021-08-04, Dividend: 0.98, Company Ticker: VLO,
  Date: 2021-07-30, Dividend: 0.7, Company Ticker: BX,
  Date: 2021-07-30, Dividend: 0.51, Company Ticker: C,
  Date: 2021-07-30, Dividend: 0.27, Company Ticker: KMI,
  Date: 2021-07-30, Dividend: 0.24, Company Ticker: O,
  Date: 2021-07-30, Dividend: 0.67, Company Ticker: OHI,
  Date: 2021-07-30, Dividend: 0.94, Company Ticker: OKE,
  Date: 2021-07-29, Dividend: 0.12, Company Ticker: AGNC,
  Date: 2021-07-29, Dividend: 0.45, Company Ticker: EPD,
  Date: 2021-07-29, Dividend: 0.7, Company Ticker: MS,
  Date: 2021-07-29, Dividend: 0.39, Company Ticker: PFE,
  Date: 2021-07-27, Dividend: 0.06, Company Ticker: PSEC,
  Date: 2021-07-14, Dividend: 1.3, Company Ticker: ABBV,
  Date: 2021-07-08, Dividend: 0.52, Company Ticker: T,
  Date: 2021-07-08, Dividend: 0.63, Company Ticker: VZ,
  Date: 2021-07-02, Dividend: 0.9, Company Ticker: JPM,
  Date: 2021-07-01, Dividend: 0.2, Company Ticker: NRZ,
  Date: 2021-07-01, Dividend: 1.4, Company Ticker: SPG,
  Date: 2021-06-30, Dividend: 0.24, Company Ticker: O,
  Date: 2021-06-29, Dividend: 0.12, Company Ticker: AGNC,
  Date: 2021-06-29, Dividend: 1.4, Company Ticker: IIPR,
  Date: 2021-06-29, Dividend: 0.22, Company Ticker: NLY,
  Date: 2021-06-25, Dividend: 0.06, Company Ticker: PSEC,
  Date: 2021-06-24, Dividend: 1.2, Company Ticker: PM,
  Date: 2021-06-24, Dividend: 0.44, Company Ticker: VALE,
  Date: 2021-06-14, Dividend: 0.71, Company Ticker: GILD,
  Date: 2021-06-14, Dividend: 0.86, Company Ticker: MO,
  Date: 2021-06-14, Dividend: 0.65, Company Ticker: MRK,
  Date: 2021-06-11, Dividend: 0.34, Company Ticker: DVN,
  Date: 2021-06-02, Dividend: 0.55, Company Ticker: NEM,
  Date: 2021-05-28, Dividend: 0.25, Company Ticker: LUMN,
  Date: 2021-05-28, Dividend: 0.24, Company Ticker: O,
  Date: 2021-05-27, Dividend: 0.12, Company Ticker: AGNC,
  Date: 2021-05-27, Dividend: 0.7, Company Ticker: DOW,
  Date: 2021-05-27, Dividend: 0.4, Company Ticker: KHC,
  Date: 2021-05-26, Dividend: 0.06, Company Ticker: PSEC,
  Date: 2021-05-24, Dividend: 1.15, Company Ticker: PRU,
  Date: 2021-05-21, Dividend: 1.02, Company Ticker: UPS,
  Date: 2021-05-20, Dividend: 0.53, Company Ticker: GSK,
  Date: 2021-05-20, Dividend: 1.48, Company Ticker: MMM,
  Date: 2021-05-20, Dividend: 0.47, Company Ticker: WBA,
  Date: 2021-05-18, Dividend: 1.34, Company Ticker: CVX,
  Date: 2021-05-14, Dividend: 1.76, Company Ticker: AMGN,
  Date: 2021-05-14, Dividend: 0.66, Company Ticker: SO,
  Date: 2021-05-14, Dividend: 0.98, Company Ticker: VLO,
  Date: 2021-05-13, Dividend: 0.97, Company Ticker: DUK,
